gamma,mu
1.0971869428079508,0.014747274583979599
1.0971887385385688,0.01475410599958715
1.0971887498237005,0.014747271872178787
1.0971905461777887,0.014754102907930052
1.097190556893236,0.014747269160320486
1.0971923538708719,0.014754099816214021
1.0971923640165917,0.01474726644840231
1.0971941616177052,0.014754096724426806
1.0971941711937703,0.014747263736395058
1.09719596941832,0.014754093632560075
1.0971959784246479,0.014747261024310107
1.0971977772726582,0.01475409054060473
1.0971977857093504,0.01474725831213711
1.2249463095264068,0.015587947855312052
1.2249464581053067,0.015564908666825123
1.2249528182448006,0.015588016721770783
1.224952958918461,0.01556497755772028
1.2249593269832586,0.015588085588047073
1.2249594597515685,0.015565046448438116
1.2249658357417483,0.015588154454151588
1.224965960604666,0.015565115338991502
1.2249723445201548,0.015588223320062149
1.2249724614777922,0.015565184229367252
1.2249788533186219,0.015588292185798835
1.2249789623708927,0.01556525311957207
1.2249853621370506,0.01558836105137194
1.224985463283911,0.015565322009597593
1.2249918709755157,0.015588429916738668
1.2249919642170113,0.015565390899489084
1.2249983798339632,0.0155884987819586
1.2249984651700236,0.015565459789161467
1.2250048887124492,0.015588567646967567
1.2250049661429558,0.015565528678676731
1.2594329527282402,0.02413596514432597
1.2594329598015899,0.01905542170781097
1.2594367295302007,0.02413595184211444
1.2594367363218484,0.019055505249089926
1.259440506332441,0.024135938539943152
1.2594405128423263,0.019055588790829532
1.2594442831349504,0.024135925237819204
1.2594442893630833,0.019055672332948137
1.2594480599376805,0.02413591193573421
1.259448065884164,0.019055755875557648
1.2594518367406553,0.024135898633685305
1.2594518424054184,0.01905583941859349
1.2594556135439758,0.024135885331679333
1.2594556189269444,0.01905592296200783
1.2594593903473905,0.024135872029709814
1.2594593954487177,0.019056006505851843
1.2594631671511722,0.024135858727787084
1.259463171970823,0.019056090050113748
1.2594669439552613,0.024135845425897078
1.259466948493141,0.019056173594834257
1.3134445721616483,0.022539050423174167
1.3134445758482776,0.02277149589996051
1.3134487231233583,0.022539045385086418
1.3134487270475184,0.022771466781682813
1.313452874087804,0.02253904034725973
1.3134528782494064,0.022771437663390917
1.3134570250547002,0.02253903530972105
1.313457029453816,0.02277140854508779
1.3134611760241997,0.022539030272450834
1.313461180660822,0.02277137942676854
1.3134653269962935,0.022539025235453845
1.3134653318704492,0.02277135030844476
1.3134694779709974,0.022539020198736076
1.3134694830826845,0.022771321190104204
1.3134736289482747,0.022539015162292227
1.3134736342974986,0.02277129207175559
1.3134777799281476,0.022539010126135822
1.3134777855148627,0.022771262953396657
1.3134819309106125,0.02253900509026082
1.3134819367348358,0.022771233835024843
1.3166404859290277,0.024694396813333068
1.3166435194570056,0.02469432628446655
1.3166465529851497,0.024694255755594044
1.3166495865135155,0.02469418522676799
1.316652620041927,0.024694114697936618
1.3166556535706313,0.024694044169146653
